Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1497815220,6/18/2017 12:47 PM,93.2 °F,71.6 °F,49%,29.75 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1497818820,6/18/2017 1:47 PM,95.0 °F,71.6 °F,47%,29.73 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1497822420,6/18/2017 2:47 PM,95.0 °F,71.6 °F,47%,29.72 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
1497829620,6/18/2017 4:47 PM,89.6 °F,66.2 °F,46%,29.71 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Clear
1497833220,6/18/2017 5:47 PM,84.2 °F,69.8 °F,62%,29.70 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1497837240,6/18/2017 6:54 PM,82.4 °F,66.2 °F,58%,29.71 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
1497840420,6/18/2017 7:47 PM,78.8 °F,66.2 °F,65%,29.72 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Clear
1497707220,6/17/2017 6:47 AM,62.6 °F,57.2 °F,82%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
1497710820,6/17/2017 7:47 AM,66.2 °F,60.8 °F,83%,29.95 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Scattered Clouds
1497714420,6/17/2017 8:47 AM,68.0 °F,60.8 °F,78%,29.95 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Scattered Clouds
1497718020,6/17/2017 9:47 AM,68.0 °F,60.8 °F,78%,29.95 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
1497721620,6/17/2017 10:47 AM,71.6 °F,62.6 °F,73%,29.94 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
1497725220,6/17/2017 11:47 AM,75.2 °F,50.0 °F,41%,29.93 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
1497728820,6/17/2017 12:47 PM,82.4 °F,60.8 °F,48%,29.91 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
1497732420,6/17/2017 1:47 PM,80.6 °F,62.6 °F,54%,29.89 in,10.0 mi,NNW,16.1 mph,  -,N/A,	 ,Partly Cloudy
1497736020,6/17/2017 2:47 PM,86.0 °F,62.6 °F,45%,29.87 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
1497739620,6/17/2017 3:47 PM,87.8 °F,62.6 °F,43%,29.85 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
1497743220,6/17/2017 4:47 PM,80.6 °F,50.0 °F,34%,29.84 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Clear
1497746820,6/17/2017 5:47 PM,  -,  -,N/A%,29.82 in,10.0 mi,NNW,16.1 mph,  -,N/A,	 ,Clear
