Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1486608960,2/8/2017 7:56 PM,  -,  -,N/A%,30.12 in,  -,SE,6.9 mph,  -,N/A,	 ,Clear
1486612560,2/8/2017 8:56 PM,  -,  -,N/A%,30.12 in,  -,ESE,8.1 mph,  -,N/A,	 ,Clear
1486616160,2/8/2017 9:56 PM,  -,  -,N/A%,30.10 in,  -,WSW,6.9 mph,  -,N/A,	 ,Clear
1486619760,2/8/2017 10:56 PM,  -,  -,N/A%,30.10 in,  -,NNE,6.9 mph,  -,N/A,	 ,Clear
1486623360,2/8/2017 11:56 PM,  -,  -,N/A%,30.09 in,  -,West,5.8 mph,  -,N/A,	 ,Clear
1486454160,2/7/2017 12:56 AM,  -,  -,N/A%,29.70 in,  -,South,3.5 mph,  -,N/A,	 ,Clear
1486457760,2/7/2017 1:56 AM,  -,  -,N/A%,29.71 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486461360,2/7/2017 2:56 AM,  -,  -,N/A%,29.71 in,  -,ESE,4.6 mph,  -,N/A,	 ,Clear
1486464960,2/7/2017 3:56 AM,  -,  -,N/A%,29.70 in,  -,ESE,5.8 mph,  -,N/A,	 ,Clear
1486468560,2/7/2017 4:56 AM,  -,  -,N/A%,29.71 in,  -,East,5.8 mph,  -,N/A,	 ,Clear
1486472160,2/7/2017 5:56 AM,  -,  -,N/A%,29.73 in,  -,East,9.2 mph,  -,N/A,	 ,Clear
1486475760,2/7/2017 6:56 AM,  -,  -,N/A%,29.74 in,  -,South,6.9 mph,  -,N/A,	 ,Clear
1486479360,2/7/2017 7:56 AM,  -,  -,N/A%,29.74 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486482960,2/7/2017 8:56 AM,  -,  -,N/A%,29.75 in,  -,SW,5.8 mph,  -,N/A,	 ,Clear
1486486560,2/7/2017 9:56 AM,  -,  -,N/A%,29.74 in,  -,WSW,4.6 mph,  -,N/A,	 ,Clear
1486490160,2/7/2017 10:56 AM,  -,  -,N/A%,29.72 in,  -,WSW,5.8 mph,  -,N/A,	 ,Clear
1486493760,2/7/2017 11:56 AM,  -,  -,N/A%,29.69 in,  -,SSW,15.0 mph,20.7 mph,N/A,	 ,Clear
1486497360,2/7/2017 12:56 PM,  -,  -,N/A%,29.66 in,  -,SSW,19.6 mph,25.3 mph,N/A,	 ,Clear
1486500960,2/7/2017 1:56 PM,  -,  -,N/A%,29.62 in,  -,SW,29.9 mph,36.8 mph,N/A,	 ,Clear
1486504560,2/7/2017 2:56 PM,  -,  -,N/A%,29.61 in,  -,North,  -,  -,N/A,	 ,Clear
1486508160,2/7/2017 3:56 PM,  -,  -,N/A%,29.62 in,  -,SW,6.9 mph,  -,N/A,	 ,Clear
1486511760,2/7/2017 4:56 PM,  -,  -,N/A%,29.66 in,  -,NNW,15.0 mph,26.5 mph,N/A,	 ,Clear
1486515360,2/7/2017 5:56 PM,  -,  -,N/A%,29.69 in,  -,NNW,10.4 mph,  -,N/A,	 ,Clear
1486518960,2/7/2017 6:56 PM,  -,  -,N/A%,29.72 in,  -,WNW,8.1 mph,  -,N/A,	 ,Clear
1486522560,2/7/2017 7:56 PM,  -,  -,N/A%,29.73 in,  -,West,5.8 mph,  -,N/A,	 ,Clear
1486526160,2/7/2017 8:56 PM,  -,  -,N/A%,29.73 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486529760,2/7/2017 9:56 PM,  -,  -,N/A%,29.73 in,  -,West,13.8 mph,  -,N/A,	 ,Clear
1486533360,2/7/2017 10:56 PM,  -,  -,N/A%,29.74 in,  -,WSW,8.1 mph,  -,N/A,	 ,Clear
1486536960,2/7/2017 11:56 PM,  -,  -,N/A%,29.75 in,  -,West,10.4 mph,  -,N/A,	 ,Clear
1486367760,2/6/2017 12:56 AM,  -,  -,N/A%,29.83 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486371360,2/6/2017 1:56 AM,  -,  -,N/A%,29.81 in,  -,NNW,4.6 mph,  -,N/A,	 ,Clear
1486374960,2/6/2017 2:56 AM,  -,  -,N/A%,29.78 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486378560,2/6/2017 3:56 AM,  -,  -,N/A%,29.74 in,  -,North,11.5 mph,  -,N/A,	 ,Clear
1486382160,2/6/2017 4:56 AM,  -,  -,N/A%,29.73 in,  -,WSW,10.4 mph,  -,N/A,	 ,Clear
1486385760,2/6/2017 5:56 AM,  -,  -,N/A%,29.73 in,  -,West,12.7 mph,  -,N/A,	 ,Clear
1486389360,2/6/2017 6:56 AM,  -,  -,N/A%,29.71 in,  -,WNW,4.6 mph,  -,N/A,	 ,Clear
1486392960,2/6/2017 7:56 AM,  -,  -,N/A%,29.71 in,  -,West,16.1 mph,  -,N/A,	 ,Clear
1486396560,2/6/2017 8:56 AM,  -,  -,N/A%,29.71 in,  -,WNW,6.9 mph,  -,N/A,	 ,Clear
1486400160,2/6/2017 9:56 AM,  -,  -,N/A%,29.70 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486403760,2/6/2017 10:56 AM,  -,  -,N/A%,29.69 in,  -,WNW,10.4 mph,  -,N/A,	 ,Clear
1486407360,2/6/2017 11:56 AM,  -,  -,N/A%,29.65 in,  -,West,6.9 mph,  -,N/A,	 ,Clear
1486410960,2/6/2017 12:56 PM,  -,  -,N/A%,29.62 in,  -,NNW,19.6 mph,28.8 mph,N/A,	 ,Clear
1486418160,2/6/2017 2:56 PM,  -,  -,N/A%,29.61 in,  -,NW,27.6 mph,32.2 mph,N/A,	 ,Clear
1486421760,2/6/2017 3:56 PM,  -,  -,N/A%,29.63 in,  -,NNW,20.7 mph,31.1 mph,N/A,	 ,Clear
1486425360,2/6/2017 4:56 PM,  -,  -,N/A%,29.67 in,  -,NNW,18.4 mph,26.5 mph,N/A,	 ,Clear
1486428960,2/6/2017 5:56 PM,  -,  -,N/A%,29.67 in,  -,NW,19.6 mph,34.5 mph,N/A,	 ,Clear
1486432560,2/6/2017 6:56 PM,  -,  -,N/A%,29.69 in,  -,NNW,10.4 mph,  -,N/A,	 ,Clear
1486436160,2/6/2017 7:56 PM,  -,  -,N/A%,29.71 in,  -,North,9.2 mph,  -,N/A,	 ,Clear
1486438620,2/6/2017 8:37 PM,  -,  -,N/A%,29.70 in,  -,NNW,15.0 mph,  -,N/A,	 ,Clear
1486439760,2/6/2017 8:56 PM,  -,  -,N/A%,29.70 in,  -,NW,16.1 mph,32.2 mph,N/A,	 ,Clear
1486443360,2/6/2017 9:56 PM,  -,  -,N/A%,29.71 in,  -,WNW,10.4 mph,  -,N/A,	 ,Clear
1486446960,2/6/2017 10:56 PM,  -,  -,N/A%,29.72 in,  -,West,10.4 mph,  -,N/A,	 ,Clear
1486450560,2/6/2017 11:56 PM,  -,  -,N/A%,29.71 in,  -,SW,10.4 mph,  -,N/A,	 ,Clear
1486281360,2/5/2017 12:56 AM,  -,  -,N/A%,29.99 in,  -,East,12.7 mph,  -,0.00 in,Rain,Light Rain
1486284960,2/5/2017 1:56 AM,  -,  -,N/A%,29.98 in,  -,ESE,12.7 mph,  -,0.00 in,	 ,Clear
1486288560,2/5/2017 2:56 AM,  -,  -,N/A%,29.98 in,  -,East,11.5 mph,  -,0.00 in,Rain,Light Rain
1486292160,2/5/2017 3:56 AM,  -,  -,N/A%,29.99 in,  -,Calm,Calm,  -,0.00 in,	 ,Clear
1486295760,2/5/2017 4:56 AM,  -,  -,N/A%,29.99 in,  -,NNE,4.6 mph,  -,N/A,	 ,Clear
1486299360,2/5/2017 5:56 AM,  -,  -,N/A%,29.99 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486302960,2/5/2017 6:56 AM,  -,  -,N/A%,29.98 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486306560,2/5/2017 7:56 AM,  -,  -,N/A%,29.98 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486310160,2/5/2017 8:56 AM,  -,  -,N/A%,29.99 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486313760,2/5/2017 9:56 AM,  -,  -,N/A%,29.98 in,  -,West,4.6 mph,  -,0.00 in,	 ,Clear
1486317360,2/5/2017 10:56 AM,  -,  -,N/A%,29.98 in,  -,West,11.5 mph,  -,N/A,	 ,Clear
1486320960,2/5/2017 11:56 AM,  -,  -,N/A%,29.95 in,  -,WSW,11.5 mph,  -,N/A,	 ,Clear
1486324560,2/5/2017 12:56 PM,  -,  -,N/A%,29.92 in,  -,West,6.9 mph,  -,N/A,	 ,Clear
1486328160,2/5/2017 1:56 PM,  -,  -,N/A%,29.91 in,  -,SSW,6.9 mph,  -,N/A,	 ,Clear
1486331760,2/5/2017 2:56 PM,  -,  -,N/A%,29.90 in,  -,South,8.1 mph,  -,N/A,	 ,Clear
1486335360,2/5/2017 3:56 PM,  -,  -,N/A%,29.90 in,  -,South,11.5 mph,  -,N/A,	 ,Clear
1486338960,2/5/2017 4:56 PM,  -,  -,N/A%,29.91 in,  -,South,11.5 mph,  -,N/A,	 ,Clear
1486342560,2/5/2017 5:56 PM,  -,  -,N/A%,29.91 in,  -,SE,9.2 mph,  -,N/A,	 ,Clear
1486346160,2/5/2017 6:56 PM,  -,  -,N/A%,29.91 in,  -,SE,10.4 mph,  -,N/A,	 ,Clear
1486349760,2/5/2017 7:56 PM,  -,  -,N/A%,29.91 in,  -,SSE,12.7 mph,  -,N/A,	 ,Clear
1486353360,2/5/2017 8:56 PM,  -,  -,N/A%,29.90 in,  -,SSE,12.7 mph,  -,N/A,	 ,Clear
1486356960,2/5/2017 9:56 PM,  -,  -,N/A%,29.88 in,  -,SSW,3.5 mph,  -,N/A,	 ,Clear
1486360560,2/5/2017 10:56 PM,  -,  -,N/A%,29.87 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486364160,2/5/2017 11:56 PM,  -,  -,N/A%,29.86 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486194960,2/4/2017 12:56 AM,  -,  -,N/A%,29.87 in,  -,West,8.1 mph,  -,N/A,	 ,Clear
1486198560,2/4/2017 1:56 AM,  -,  -,N/A%,29.86 in,  -,SW,9.2 mph,  -,N/A,	 ,Clear
